Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\February2022\POC_FEB_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 3,,,,,,,,,,,,,
Date,3/26/2022,,,,,,,,,,,,,
Time,5:42:25 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,,
Actual Temperature:,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.03,0.034,0.136,0.145,0.113,0.117,0.152,0.112,0.247,0.102,0.157,0.185,630
,,0.033,0.033,0.247,0.258,0.208,0.221,0.225,0.188,0.397,0.266,0.274,0.307,663
,,0.03,0.033,0.085,0.089,0.07,0.072,0.105,0.074,0.171,0.044,0.099,0.119,750
,B,0.101,0.186,0.083,0.116,0.178,0.27,0.121,0.245,0.147,0.222,0.031,0.032,630
,,0.25,0.332,0.159,0.195,0.347,0.448,0.22,0.344,0.242,0.309,0.03,0.032,663
,,0.046,0.12,0.051,0.077,0.105,0.181,0.079,0.184,0.095,0.149,0.032,0.031,750
,C,0.037,0.033,0.031,0.042,0.037,0.037,0.031,0.03,0.043,0.03,0.034,0.032,630
,,0.036,0.032,0.031,0.041,0.037,0.037,0.031,0.03,0.043,0.029,0.033,0.032,663
,,0.035,0.032,0.03,0.039,0.036,0.036,0.03,0.03,0.042,0.029,0.033,0.031,750
,D,0.035,0.042,0.03,0.034,0.031,0.033,0.035,0.034,0.031,0.031,0.03,0.031,630
,,0.034,0.041,0.03,0.034,0.03,0.032,0.035,0.033,0.031,0.03,0.029,0.031,663
,,0.034,0.04,0.03,0.034,0.03,0.032,0.034,0.033,0.03,0.03,0.029,0.03,750
,E,0.033,0.046,0.032,0.043,0.032,0.032,0.034,0.037,0.034,0.031,0.032,0.031,630
,,0.033,0.045,0.031,0.042,0.031,0.031,0.033,0.037,0.033,0.03,0.031,0.03,663
,,0.032,0.043,0.03,0.041,0.031,0.031,0.033,0.036,0.032,0.03,0.031,0.03,750
,F,0.031,0.042,0.036,0.035,0.03,0.033,0.032,0.031,0.032,0.032,0.033,0.03,630
,,0.03,0.041,0.035,0.034,0.03,0.032,0.031,0.031,0.032,0.032,0.032,0.029,663
,,0.03,0.04,0.034,0.033,0.029,0.032,0.031,0.03,0.031,0.031,0.032,0.029,750
,G,0.031,0.039,0.03,0.034,0.032,0.032,0.03,0.039,0.03,0.033,0.03,0.034,630
,,0.031,0.039,0.03,0.034,0.031,0.031,0.029,0.038,0.029,0.032,0.03,0.033,663
,,0.03,0.038,0.03,0.033,0.031,0.031,0.029,0.038,0.029,0.032,0.03,0.032,750
,H,0.032,0.033,0.034,0.031,0.031,0.034,0.036,0.034,0.034,0.03,0.031,0.032,630
,,0.032,0.032,0.033,0.031,0.03,0.033,0.036,0.033,0.033,0.029,0.03,0.031,663
,,0.031,0.032,0.032,0.03,0.03,0.033,0.035,0.032,0.033,0.029,0.03,0.031,750
