Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240202_CHL_POC_August_October.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/2/24,,,,,,,,,,,,
Time,2:47:44 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,25.9,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,25.9,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,25.9,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.073,0.081,0.082,0.056,0.081,0.134,0.07,0.067,0.094,0.07,0.06,0.068,630
,0.174,0.205,0.215,0.1,0.199,0.407,0.157,0.167,0.279,0.195,0.16,0.175,663
,0.034,0.037,0.032,0.038,0.038,0.045,0.034,0.035,0.035,0.033,0.033,0.037,750
B,0.087,0.087,0.095,0.06,0.09,0.197,0.077,0.077,0.108,0.081,0.069,0.071,630
,0.228,0.25,0.271,0.117,0.245,0.547,0.197,0.203,0.344,0.238,0.199,0.21,663
,0.036,0.032,0.033,0.038,0.04,0.075,0.037,0.037,0.033,0.034,0.035,0.034,750
C,0.069,0.077,0.081,0.081,0.08,0.065,0.106,0.079,0.063,0.071,0.076,0.063,630
,0.185,0.219,0.263,0.197,0.255,0.168,0.361,0.23,0.147,0.147,0.217,0.148,663
,0.036,0.039,0.034,0.048,0.034,0.034,0.035,0.037,0.037,0.046,0.035,0.034,750
D,0.084,0.091,0.094,0.084,0.102,0.086,0.132,0.09,0.073,0.072,0.099,0.077,630
,0.239,0.272,0.328,0.232,0.318,0.216,0.464,0.276,0.178,0.172,0.277,0.188,663
,0.043,0.041,0.033,0.043,0.045,0.047,0.042,0.04,0.039,0.041,0.045,0.043,750
E,0.066,0.09,0.083,0.076,0.112,0.065,0.076,0.091,0.082,0.08,0.061,0.067,630
,0.161,0.269,0.219,0.209,0.349,0.148,0.209,0.285,0.21,0.236,0.161,0.185,663
,0.037,0.036,0.036,0.034,0.043,0.039,0.039,0.035,0.038,0.044,0.034,0.032,750
F,0.072,0.113,0.092,0.086,0.128,0.078,0.089,0.115,0.084,0.09,0.073,0.082,630
,0.19,0.33,0.267,0.262,0.435,0.182,0.255,0.387,0.243,0.285,0.199,0.228,663
,0.035,0.043,0.036,0.039,0.043,0.046,0.042,0.037,0.037,0.033,0.038,0.039,750
G,0.085,0.065,0.079,0.078,0.039,0.051,0.04,0.041,0.042,0.036,0.037,0.035,630
,0.233,0.169,0.233,0.226,0.039,0.05,0.04,0.041,0.042,0.036,0.037,0.034,663
,0.039,0.032,0.039,0.036,0.038,0.05,0.04,0.041,0.041,0.035,0.036,0.034,750
H,0.09,0.085,0.088,0.09,0.037,0.038,0.042,0.032,0.039,0.033,0.038,0.039,630
,0.27,0.213,0.276,0.277,0.036,0.038,0.041,0.031,0.038,0.033,0.038,0.038,663
,0.038,0.045,0.038,0.038,0.035,0.037,0.041,0.031,0.037,0.032,0.037,0.038,750
