Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\20200106_Chl.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/6/20,,,,,,,,,,,,,
Time,7:36:06 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,21.6,,,,,,,,,,,,,
Actual Temperature:,21.6,,,,,,,,,,,,,
Actual Temperature:,21.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,663
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,750
,B,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,663
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,750
,C,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,663
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,750
,D,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,663
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,750
,E,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,663
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,750
,F,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,663
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,750
,G,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,663
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,750
,H,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,663
,,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,750
,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,
A,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
B,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
C,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
D,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
E,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
F,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
G,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
H,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,
A,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
B,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
C,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
D,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
E,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
F,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
G,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
H,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,abs,630,
,,,,,,,,,,,,,,
Well,630,,,,,,,,,,,,,
A1,abs,,,,,,,,,,,,,
B1,abs,,,,,,,,,,,,,
C1,abs,,,,,,,,,,,,,
D1,abs,,,,,,,,,,,,,
E1,abs,,,,,,,,,,,,,
F1,abs,,,,,,,,,,,,,
G1,abs,,,,,,,,,,,,,
H1,abs,,,,,,,,,,,,,
A2,abs,,,,,,,,,,,,,
B2,abs,,,,,,,,,,,,,
C2,abs,,,,,,,,,,,,,
D2,abs,,,,,,,,,,,,,
E2,abs,,,,,,,,,,,,,
F2,abs,,,,,,,,,,,,,
G2,abs,,,,,,,,,,,,,
H2,abs,,,,,,,,,,,,,
A3,abs,,,,,,,,,,,,,
B3,abs,,,,,,,,,,,,,
C3,abs,,,,,,,,,,,,,
D3,abs,,,,,,,,,,,,,
E3,abs,,,,,,,,,,,,,
F3,abs,,,,,,,,,,,,,
G3,abs,,,,,,,,,,,,,
H3,abs,,,,,,,,,,,,,
A4,abs,,,,,,,,,,,,,
B4,abs,,,,,,,,,,,,,
C4,abs,,,,,,,,,,,,,
D4,abs,,,,,,,,,,,,,
E4,abs,,,,,,,,,,,,,
F4,abs,,,,,,,,,,,,,
G4,abs,,,,,,,,,,,,,
H4,abs,,,,,,,,,,,,,
A5,abs,,,,,,,,,,,,,
B5,abs,,,,,,,,,,,,,
C5,abs,,,,,,,,,,,,,
D5,abs,,,,,,,,,,,,,
E5,abs,,,,,,,,,,,,,
F5,abs,,,,,,,,,,,,,
G5,abs,,,,,,,,,,,,,
H5,abs,,,,,,,,,,,,,
A6,abs,,,,,,,,,,,,,
B6,abs,,,,,,,,,,,,,
C6,abs,,,,,,,,,,,,,
D6,abs,,,,,,,,,,,,,
E6,abs,,,,,,,,,,,,,
F6,abs,,,,,,,,,,,,,
G6,abs,,,,,,,,,,,,,
H6,abs,,,,,,,,,,,,,
A7,abs,,,,,,,,,,,,,
B7,abs,,,,,,,,,,,,,
C7,abs,,,,,,,,,,,,,
