Software Version,3.05.11,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240131_POC_Gameo_MaySeptember_Chl.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/31/24,,,,,,,,,,,,,
Time,12:25:08 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Actual Temperature:,24.5,,,,,,,,,,,,,
Actual Temperature:,24.5,,,,,,,,,,,,,
Actual Temperature:,24.5,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.066,0.067,0.062,0.057,0.052,0.061,0.072,0.051,0.07,0.069,0.055,0.107,630
,,0.167,0.144,0.135,0.118,0.121,0.136,0.213,0.076,0.15,0.19,0.117,0.346,663
,,0.035,0.044,0.03,0.032,0.032,0.042,0.034,0.041,0.045,0.034,0.036,0.038,750
,B,0.08,0.067,0.068,0.057,0.067,0.063,0.088,0.052,0.06,0.083,0.057,0.116,630
,,0.243,0.16,0.162,0.135,0.151,0.146,0.257,0.081,0.153,0.224,0.131,0.397,663
,,0.035,0.041,0.038,0.033,0.042,0.034,0.042,0.041,0.032,0.041,0.037,0.037,750
,C,0.147,0.087,0.275,0.079,0.105,0.095,0.085,0.064,0.073,0.059,0.091,0.073,630
,,0.52,0.297,0.421,0.247,0.325,0.225,0.263,0.181,0.214,0.156,0.285,0.177,663
,,0.04,0.03,0.09,0.031,0.035,0.056,0.033,0.031,0.037,0.031,0.035,0.038,750
,D,0.162,0.098,0.131,0.097,0.111,0.083,0.103,0.081,0.083,0.071,0.102,0.077,630
,,0.597,0.343,0.439,0.296,0.364,0.234,0.312,0.219,0.246,0.182,0.332,0.204,663
,,0.037,0.032,0.042,0.041,0.03,0.036,0.044,0.041,0.042,0.04,0.035,0.04,750
,E,0.082,0.062,0.091,0.096,0.066,0.074,0.043,0.095,0.083,0.081,0.085,0.073,630
,,0.141,0.166,0.261,0.266,0.174,0.216,0.07,0.328,0.272,0.237,0.264,0.201,663
,,0.062,0.031,0.036,0.042,0.034,0.03,0.033,0.031,0.029,0.032,0.035,0.038,750
,F,0.055,0.073,0.098,0.128,0.075,0.101,0.055,0.112,0.094,0.09,0.092,0.078,630
,,0.123,0.198,0.294,0.33,0.202,0.269,0.084,0.387,0.319,0.273,0.303,0.229,663
,,0.031,0.034,0.035,0.059,0.038,0.049,0.043,0.035,0.031,0.034,0.034,0.036,750
,G,0.115,0.06,0.06,0.067,0.062,0.033,0.045,0.036,0.036,0.036,0.037,0.034,630
,,0.342,0.152,0.158,0.185,0.154,0.034,0.045,0.036,0.036,0.036,0.038,0.034,663
,,0.034,0.032,0.032,0.034,0.034,0.034,0.044,0.035,0.035,0.035,0.037,0.033,750
,H,0.125,0.069,0.1,0.084,0.075,0.041,0.037,0.03,0.032,0.032,0.036,0.036,630
,,0.391,0.197,0.293,0.223,0.186,0.041,0.037,0.03,0.032,0.032,0.036,0.036,663
,,0.035,0.032,0.041,0.046,0.043,0.04,0.037,0.029,0.031,0.031,0.035,0.035,750
