Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240201_Janurary_FinalAttempt_POC_CHL.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/1/24,,,,,,,,,,,,
Time,12:58:32 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,25,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,25,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,25,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.057,0.072,0.046,0.056,0.051,0.076,0.058,0.104,0.057,0.074,0.031,0.031,630
,0.117,0.154,0.084,0.133,0.108,0.196,0.118,0.339,0.125,0.181,0.033,0.033,663
,0.033,0.045,0.033,0.031,0.031,0.037,0.037,0.03,0.035,0.042,0.031,0.03,750
B,0.062,0.143,0.074,0.06,0.053,0.076,0.061,0.116,0.06,0.074,0.032,0.032,630
,0.136,0.234,0.119,0.151,0.12,0.215,0.131,0.383,0.137,0.196,0.033,0.035,663
,0.036,0.098,0.054,0.032,0.031,0.032,0.037,0.031,0.034,0.037,0.031,0.032,750
C,0.04,0.045,0.034,0.035,0.034,0.035,0.036,0.033,0.043,0.036,0.035,0.04,630
,0.04,0.046,0.034,0.035,0.034,0.035,0.036,0.033,0.043,0.036,0.035,0.04,663
,0.04,0.046,0.033,0.034,0.034,0.035,0.036,0.033,0.042,0.035,0.034,0.039,750
D,0.04,0.039,0.04,0.046,0.032,0.035,0.037,0.033,0.035,0.035,0.034,0.036,630
,0.04,0.039,0.041,0.047,0.032,0.035,0.037,0.033,0.035,0.035,0.034,0.036,663
,0.038,0.038,0.039,0.046,0.031,0.034,0.036,0.032,0.034,0.034,0.033,0.036,750
E,0.041,0.035,0.033,0.041,0.037,0.036,0.032,0.036,0.035,0.033,0.035,0.032,630
,0.041,0.035,0.033,0.042,0.037,0.036,0.032,0.036,0.035,0.034,0.035,0.032,663
,0.04,0.034,0.032,0.041,0.035,0.035,0.032,0.036,0.035,0.033,0.034,0.031,750
F,0.037,0.034,0.037,0.036,0.036,0.032,0.036,0.04,0.059,0.035,0.034,0.033,630
,0.037,0.034,0.037,0.036,0.036,0.032,0.036,0.04,0.059,0.035,0.034,0.033,663
,0.036,0.033,0.036,0.035,0.035,0.032,0.035,0.039,0.058,0.034,0.033,0.033,750
G,0.045,0.035,0.035,0.039,0.041,0.036,0.051,0.212,0.041,0.034,0.123,0.033,630
,0.044,0.035,0.035,0.039,0.04,0.036,0.051,0.214,0.041,0.034,0.124,0.033,663
,0.044,0.034,0.034,0.038,0.039,0.036,0.051,0.212,0.04,0.034,0.123,0.032,750
H,0.042,0.036,0.101,0.038,0.034,0.036,0.036,0.032,0.034,0.031,0.034,0.037,630
,0.042,0.036,0.1,0.039,0.034,0.036,0.036,0.032,0.034,0.031,0.034,0.037,663
,0.041,0.036,0.098,0.038,0.034,0.035,0.035,0.032,0.033,0.03,0.033,0.036,750
