colony_id,Sample,Diameter,weight1.g,weight2.g,timepoint,site,Notes
1,Standard,7.44,140.4,146,JAN,NA,
2,Standard,6.22,93.271,96.842,JAN,NA,
3,Standard,5.08,46.368,48.827,JAN,NA,
4,Standard,3.16,10.977,11.685,JAN,NA,
5,Standard,2.52,6.212,6.59,JAN,NA,
6,Standard,1.9,2.204,2.411,JAN,NA,
7,Standard,1.18,0.577,0.649,JAN,NA,
POC-481,Coral,,16.947,18.029,JAN,FR,
POC-476,Coral,,4.311,4.585,JAN,FR,
POC-480,Coral,,4.86,5.105,JAN,FR,
POC-483,Coral,,8.158,8.639,JAN,FR,
POC-485,Coral,,12.163,13.161,JAN,FR,
POC-477,Coral,,6.885,7.354,JAN,FR,
POC-478,Coral,,10.876,11.651,JAN,FR,
POC-482,Coral,,12.58,13.449,JAN,FR,
POC-484,Coral,,7.795,8.238,JAN,FR,
POC-479,Coral,,14.302,15.275,JAN,FR,
