Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240207_Plate2_host_BCA_Nov_Jan_485.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/7/24,,,,,,,,,,,,
Time,12:36:28 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,24.8,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.702,0.811,1.553,1.008,2.163,1.923,1.831,1.517,2.281,1.618,0.731,0.591,562:562
B,1.934,0.788,1.504,1.041,2.252,1.874,1.768,1.437,2.473,1.679,0.701,0.438,562:562
C,0.806,1.173,0.539,0.915,0.486,0.905,0.722,0.551,0.803,0.966,0.598,0.729,562:562
D,0.785,1.092,0.619,0.97,0.561,0.933,0.78,0.586,0.818,1.002,0.643,0.574,562:562
E,0.871,0.963,0.947,0.912,1.039,0.588,0.543,0.546,0.653,0.69,0.047,0.044,562:562
F,0.924,0.989,0.948,1.001,1.086,0.587,0.575,0.527,0.702,0.715,0.044,0.044,562:562
G,2.135,1.638,1.167,0.93,0.673,0.393,0.233,0.102,0.077,0.048,0.044,0.044,562:562
H,2.27,1.734,1.235,1.053,0.686,0.416,0.248,0.104,0.079,0.046,0.045,0.044,562:562
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240207_Plate2_host_BCA_Nov_Jan_485.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/7/24,,,,,,,,,,,,
Time,12:36:28 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,24.8,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.702,0.811,1.553,1.008,2.163,1.923,1.831,1.517,2.281,1.618,0.731,0.591,562:562
B,1.934,0.788,1.504,1.041,2.252,1.874,1.768,1.437,2.473,1.679,0.701,0.438,562:562
C,0.806,1.173,0.539,0.915,0.486,0.905,0.722,0.551,0.803,0.966,0.598,0.729,562:562
D,0.785,1.092,0.619,0.97,0.561,0.933,0.78,0.586,0.818,1.002,0.643,0.574,562:562
E,0.871,0.963,0.947,0.912,1.039,0.588,0.543,0.546,0.653,0.69,0.047,0.044,562:562
F,0.924,0.989,0.948,1.001,1.086,0.587,0.575,0.527,0.702,0.715,0.044,0.044,562:562
G,2.135,1.638,1.167,0.93,0.673,0.393,0.233,0.102,0.077,0.048,0.044,0.044,562:562
H,2.27,1.734,1.235,1.053,0.686,0.416,0.248,0.104,0.079,0.046,0.045,0.044,562:562
