Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\March2022\20220318_March_POC_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,3/18/2022,,,,,,,,,,,,,
Time,10:50:24 AM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.3,,,,,,,,,,,,,
Actual Temperature:,22.3,,,,,,,,,,,,,
Actual Temperature:,22.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.029,0.028,0.066,0.075,0.097,0.108,0.029,0.033,0.054,0.029,0.029,0.031,630
,,0.029,0.028,0.187,0.215,0.354,0.399,0.029,0.032,0.054,0.029,0.028,0.031,663
,,0.029,0.028,0.029,0.031,0.031,0.031,0.029,0.032,0.053,0.029,0.028,0.03,750
,B,0.062,0.068,0.047,0.047,0.084,0.094,0.029,0.032,0.069,0.03,0.03,0.029,630
,,0.174,0.2,0.102,0.107,0.272,0.308,0.029,0.031,0.069,0.029,0.029,0.029,663
,,0.027,0.028,0.031,0.029,0.029,0.03,0.029,0.031,0.069,0.029,0.029,0.029,750
,C,0.073,0.078,0.059,0.065,0.093,0.098,0.029,0.033,0.033,0.031,0.033,0.037,630
,,0.219,0.244,0.152,0.172,0.273,0.299,0.029,0.032,0.033,0.03,0.033,0.037,663
,,0.029,0.029,0.031,0.032,0.032,0.03,0.029,0.032,0.032,0.03,0.032,0.036,750
,D,0.092,0.102,0.068,0.073,0.082,0.09,0.035,0.033,0.035,0.029,0.029,0.03,630
,,0.277,0.315,0.192,0.222,0.258,0.292,0.034,0.032,0.035,0.029,0.029,0.03,663
,,0.032,0.033,0.03,0.03,0.031,0.032,0.034,0.032,0.035,0.028,0.029,0.029,750
,E,0.05,0.054,0.111,0.122,0.101,0.109,0.033,0.034,0.032,0.035,0.03,0.029,630
,,0.123,0.139,0.387,0.445,0.351,0.388,0.033,0.033,0.032,0.035,0.029,0.029,663
,,0.029,0.029,0.031,0.031,0.032,0.033,0.032,0.032,0.031,0.034,0.029,0.029,750
,F,0.045,0.052,0.061,0.07,0.077,0.085,0.032,0.032,0.031,0.036,0.029,0.031,630
,,0.095,0.112,0.176,0.217,0.252,0.285,0.032,0.032,0.03,0.036,0.029,0.03,663
,,0.029,0.033,0.029,0.03,0.03,0.03,0.031,0.031,0.03,0.035,0.028,0.03,750
,G,0.064,0.065,0.075,0.082,0.05,0.052,0.032,0.03,0.032,0.034,0.031,0.031,630
,,0.161,0.173,0.224,0.258,0.12,0.132,0.032,0.029,0.031,0.034,0.031,0.031,663
,,0.034,0.032,0.029,0.03,0.03,0.029,0.031,0.029,0.031,0.033,0.03,0.03,750
,H,0.036,0.033,0.03,0.034,0.029,0.03,0.032,0.033,0.032,0.032,0.03,0.03,630
,,0.036,0.032,0.03,0.034,0.029,0.03,0.031,0.032,0.032,0.032,0.03,0.03,663
,,0.035,0.032,0.029,0.033,0.029,0.029,0.031,0.031,0.031,0.031,0.029,0.029,750
